sentence_id,token,label,split
21,potential,O,train
21,to,O,train
21,cause,O,train
21,human,O,train
21,outbreaks,O,train
21,with,O,train
21,a,O,train
21,high,O,train
21,case,O,train
21,fatality,O,train
21,ratio.,O,train
25,Clinicians,O,train
25,and,O,train
25,public,O,train
25,health,O,train
25,experts,O,train
25,should,O,train
25,be,O,train
25,aware,O,train
25,of,O,train
25,emerging,O,train
25,infectious,O,train
25,causes,O,train
25,of,O,train
25,"encephalitis,",B-DISEASE,train
25,mechanisms,O,train
25,by,O,train
25,which,O,train
25,they,O,train
25,are,O,train
25,"transmitted,",O,train
25,and,O,train
25,clinical,O,train
25,manifestations,O,train
25,of,O,train
25,disease.,O,train
29,The,O,train
29,Nipah,B-DISEASE,train
29,virus,I-DISEASE,train
29,is,O,train
29,a,O,train
29,zoonotic,O,train
29,pathogen,O,train
29,causing,O,train
29,encephalitis,B-DISEASE,train
29,and,O,train
29,acute,O,train
29,respiratory,O,train
29,illness,O,train
29,in,O,train
29,humans,O,train
29,with,O,train
29,very,O,train
29,high,O,train
29,fatality,O,train
29,rates.,O,train
37,ELISA,O,train
37,(enzyme-linked,O,train
37,immunosorbent,O,train
37,assay),O,train
37,untuk,O,train
37,mendeteksi,O,train
37,antibodi,O,train
37,terhadap,O,train
37,virus,B-DISEASE,train
37,nipah,I-DISEASE,train
37,dalam,O,train
37,sampel,O,train
37,darah.,O,train
45,Pakar:,O,train
45,Outbreak,O,train
45,Kecil,O,train
45,Virus,B-DISEASE,train
45,Nipah,I-DISEASE,train
45,Lebih,O,train
45,Berbahaya,O,train
45,dari,O,train
45,Wabah,O,train
45,Besar,O,train
45,Kompas.com,O,train
46,This,O,train
46,study,O,train
46,focuses,O,train
46,on,O,train
46,identifying,O,train
46,viral,O,train
46,peptides,O,train
46,of,O,train
46,the,O,train
46,Nipah,B-DISEASE,train
46,virus,I-DISEASE,train
46,using,O,train
46,the,O,train
46,peptide,O,train
46,mass,O,train
46,fingerprinting,O,train
46,technique.,O,train
49,Nipah,B-DISEASE,train
49,virus,I-DISEASE,train
49,(NiV),B-DISEASE,train
49,remains,O,train
49,one,O,train
49,of,O,train
49,the,O,train
49,most,O,train
49,concerning,O,train
49,emerging,O,train
49,pathogens,O,train
49,due,O,train
49,to,O,train
49,its,O,train
49,repeated,O,train
49,spillover,O,train
49,"events,",O,train
49,high,O,train
49,"mortality,",O,train
49,and,O,train
49,the,O,train
49,absence,O,train
49,of,O,train
49,licensed,O,train
49,vaccines,O,train
49,or,O,train
49,treatments.,O,train
54,"Thus,",O,train
54,early,O,train
54,administration,O,train
54,seems,O,train
54,critical,O,train
54,for,O,train
54,effective,O,train
54,remdesivir,O,train
54,treatment,O,train
54,during,O,train
54,Nipah,B-DISEASE,train
54,virus,I-DISEASE,train
54,infection.,O,train
80,Cedar,O,train
80,virus,O,train
80,"(CedV),",O,train
80,related,O,train
80,to,O,train
80,the,O,train
80,highly,O,train
80,pathogenic,O,train
80,bat-borne,O,train
80,"henipaviruses,",B-DISEASE,train
80,Hendra,O,train
80,virus,O,train
80,(HeV),O,train
80,and,O,train
80,Nipah,B-DISEASE,train
80,virus,I-DISEASE,train
80,"(NiV),",B-DISEASE,train
80,is,O,train
80,non-pathogenic,O,train
80,in,O,train
80,small,O,train
80,animal,O,train
80,"models,",O,train
80,likely,O,train
80,due,O,train
80,to,O,train
80,the,O,train
80,inability,O,train
80,to,O,train
80,produce,O,train
80,interferon-antagonist,O,train
80,proteins.,O,train
83,The,O,train
83,suitable,O,train
83,niches,O,train
83,for,O,train
83,Nipah,B-DISEASE,train
83,virus,I-DISEASE,train
83,are,O,train
83,more,O,train
83,extensive,O,train
83,than,O,train
83,previously,O,train
83,reported.,O,train
100,India,O,train
100,Laporkan,O,train
100,Dua,O,train
100,Kasus,O,train
100,Infeksi,O,train
100,Virus,B-DISEASE,train
100,Nipah,I-DISEASE,train
100,kontan.co.id,O,train
113,Nipah,B-DISEASE,train
113,virus,I-DISEASE,train
113,(NiV),B-DISEASE,train
113,is,O,train
113,a,O,train
113,zoonotic,O,train
113,paramyxovirus,O,train
113,belonging,O,train
113,to,O,train
113,the,O,train
113,genus,O,train
113,"Henipavirus,",B-DISEASE,train
113,which,O,train
113,infects,O,train
113,Pteropus,O,train
113,bat,O,train
113,species,O,train
113,in,O,train
113,Southeast,B-LOCATION,train
113,and,O,train
113,South,B-LOCATION,train
113,Asia.,I-LOCATION,train
127,The,O,train
127,high,O,train
127,human-to-human,O,train
127,transmission,O,train
127,rate,O,train
127,of,O,train
127,paramyxoviruses,O,train
127,such,O,train
127,as,O,train
127,measles,O,train
127,"virus,",O,train
127,high,O,train
127,case,O,train
127,fatality,O,train
127,rate,O,train
127,associated,O,train
127,with,O,train
127,other,O,train
127,family,O,train
127,members,O,train
127,such,O,train
127,as,O,train
127,Nipah,B-DISEASE,train
127,"virus,",I-DISEASE,train
127,and,O,train
127,the,O,train
127,existence,O,train
127,of,O,train
127,poorly,O,train
127,characterized,O,train
127,zoonotic,O,train
127,pathogens,O,train
127,raise,O,train
127,concern,O,train
127,that,O,train
127,known,O,train
127,and,O,train
127,unknown,O,train
127,paramyxoviruses,O,train
127,have,O,train
127,significant,O,train
127,pandemic,O,train
127,potential.,O,train
129,Hendra,O,train
129,virus,O,train
129,and,O,train
129,Nipah,B-DISEASE,train
129,virus,I-DISEASE,train
129,(NiV),B-DISEASE,train
129,are,O,train
129,"lethal,",O,train
129,zoonotic,O,train
129,Henipaviruses,B-DISEASE,train
129,(HNVs),B-DISEASE,train
129,that,O,train
129,cause,O,train
129,respiratory,O,train
129,and,O,train
129,neurological,O,train
129,clinical,O,train
129,features,O,train
129,in,O,train
129,humans.,O,train
137,Nipah,B-DISEASE,train
137,virus,I-DISEASE,train
137,first,O,train
137,appeared,O,train
137,in,O,train
137,"1998,",O,train
137,in,O,train
137,peninsular,O,train
137,Malaysia,B-LOCATION,train
137,in,O,train
137,pigs,O,train
137,and,O,train
137,pig,O,train
137,farmers.,O,train
138,The,O,train
138,Nipah,B-DISEASE,train
138,virus,I-DISEASE,train
138,(NiV),B-DISEASE,train
138,is,O,train
138,a,O,train
138,zoonotic,O,train
138,pathogen,O,train
138,that,O,train
138,belongs,O,train
138,to,O,train
138,the,O,train
138,Paramyxoviridae,O,train
138,family.,O,train
143,The,O,train
143,designed,O,train
143,vaccine,O,train
143,against,O,train
143,the,O,train
143,Nipah,B-DISEASE,train
143,virus,I-DISEASE,train
143,demonstrates,O,train
143,promising,O,train
143,"antigenicity,",O,train
143,"stability,",O,train
143,and,O,train
143,strong,O,train
143,binding,O,train
143,with,O,train
143,the,O,train
143,ephrin,O,train
143,B2,O,train
143,receptor.,O,train
149,"Moreover,",O,train
149,analysis,O,train
149,of,O,train
149,the,O,train
149,miRNA-mRNA,O,train
149,duplex,O,train
149,free,O,train
149,energy,O,train
149,and,O,train
149,secondary,O,train
149,"structures,",O,train
149,as,O,train
149,predicted,O,train
149,by,O,train
149,"RNAFold,",O,train
149,indicated,O,train
149,that,O,train
149,the,O,train
149,interactions,O,train
149,between,O,train
149,human,O,train
149,miRNAs,O,train
149,and,O,train
149,Nipah,B-DISEASE,train
149,virus,I-DISEASE,train
149,genes,O,train
149,were,O,train
149,thermodynamically,O,train
149,stable.,O,train
150,This,O,train
150,study,O,train
150,provides,O,train
150,a,O,train
150,detailed,O,train
150,look,O,train
150,into,O,train
150,how,O,train
150,different,O,train
150,strains,O,train
150,of,O,train
150,the,O,train
150,Nipah,B-DISEASE,train
150,virus,I-DISEASE,train
150,have,O,train
150,geographically,O,train
150,moved,O,train
150,and,O,train
150,genetically,O,train
150,changed,O,train
150,over,O,train
150,nearly,O,train
150,two,O,train
150,decades.,O,train
155,The,O,train
155,present,O,train
155,study,O,train
155,reviews,O,train
155,the,O,train
155,"epidemiology,",O,train
155,clinical,O,train
155,"features,",O,train
155,and,O,train
155,modes,O,train
155,of,O,train
155,transmission,O,train
155,of,O,train
155,Nipah,B-DISEASE,train
155,virus,I-DISEASE,train
155,"infection,",O,train
155,its,O,train
155,geographical,O,train
155,"distribution,",O,train
155,and,O,train
155,endemic,O,train
155,"regions,",O,train
155,highlighting,O,train
155,the,O,train
155,challenges,O,train
155,in,O,train
155,managing,O,train
155,disease,O,train
155,outbreaks.,O,train
156,On,O,train
156,the,O,train
156,other,O,train
156,"hand,",O,train
156,the,O,train
156,potent,O,train
156,ligand,O,train
156,targeting,O,train
156,attachment,O,train
156,"glycoprotein,",O,train
156,the,O,train
156,key,O,train
156,factor,O,train
156,during,O,train
156,the,O,train
156,host-pathogen,O,train
156,attachment,O,train
156,and,O,train
156,disease,O,train
156,(encephalitis),O,train
156,"progression,",O,train
156,of,O,train
156,the,O,train
156,Nipah,B-DISEASE,train
156,virus,I-DISEASE,train
156,(NiV-G),O,train
156,was,O,train
156,predicted,O,train
156,through,O,train
156,in-silico,O,train
156,approaches,O,train
156,employing,O,train
156,ADMET,O,train
156,"analysis,",O,train
156,molecular,O,train
156,"docking,",O,train
156,quantum,O,train
156,mechanics,O,train
156,(QM),O,train
156,and,O,train
156,molecular,O,train
156,dynamic,O,train
156,simulation,O,train
156,(MDS).,O,train
158,In,O,train
158,this,O,train
158,"context,",O,train
158,small,O,train
158,molecules,O,train
158,in,O,train
158,propolis,O,train
158,were,O,train
158,computationally,O,train
158,screened,O,train
158,through,O,train
158,pharmacokinetic,O,train
158,and,O,train
158,toxicity,O,train
158,studies,O,train
158,followed,O,train
158,by,O,train
158,molecular,O,train
158,docking,O,train
158,and,O,train
158,dynamics,O,train
158,simulation,O,train
158,with,O,train
158,Nipah,B-DISEASE,train
158,virus,I-DISEASE,train
158,glycoprotein,O,train
158,(NiV-G,O,train
158,protein),O,train
158,to,O,train
158,assess,O,train
158,their,O,train
158,anti-Nipah,O,train
158,potential.,O,train
165,In,O,train
165,September,O,train
165,"2021,",O,train
165,Nipah,B-DISEASE,train
165,virus,I-DISEASE,train
165,resurfaced,O,train
165,in,O,train
165,"Kerala,",B-LOCATION,train
165,India,B-LOCATION,train
165,claiming,O,train
165,the,O,train
165,life,O,train
165,of,O,train
165,a,O,train
165,12-year-old,O,train
165,boy.,O,train
170,With,O,train
170,No,O,train
170,Vaccine,O,train
170,or,O,train
170,"Cure,",O,train
170,Vigilance,O,train
170,Against,O,train
170,Nipah,B-DISEASE,train
170,Virus,I-DISEASE,train
170,Must,O,train
170,Increase,O,train
170,-,O,train
170,Kompas.id.,O,train
179,Nipah,B-DISEASE,train
179,virus,I-DISEASE,train
179,(NiV),B-DISEASE,train
179,is,O,train
179,an,O,train
179,"emerging,",O,train
179,bat-borne,O,train
179,pathogen,O,train
179,that,O,train
179,can,O,train
179,be,O,train
179,transmitted,O,train
179,from,O,train
179,person-to-person.,O,train
180,Bali,O,train
180,airport,O,train
180,revs,O,train
180,up,O,train
180,passengers',O,train
180,screening,O,train
180,to,O,train
180,prevent,O,train
180,Nipah,B-DISEASE,train
180,virus,I-DISEASE,train
180,-,O,train
180,ANTARA,O,train
180,News,O,train
180,Mataram.,O,train
197,Beware,O,train
197,of,O,train
197,Nipah,B-DISEASE,train
197,"Virus,",I-DISEASE,train
197,expert,O,train
197,calls,O,train
197,preventive,O,train
197,efforts,O,train
197,-,O,train
197,Universitas,O,train
197,Airlangga,O,train
197,Official,O,train
197,Website.,O,train
199,Nipah,B-DISEASE,train
199,virus,I-DISEASE,train
199,(NiV),B-DISEASE,train
199,causes,O,train
199,deadly,O,train
199,outbreaks,O,train
199,in,O,train
199,"Bangladesh,",B-LOCATION,train
199,with,O,train
199,a,O,train
199,fatality,O,train
199,rate,O,train
199,of,O,train
199,71,O,train
199,.,O,train
204,Paramyxoviruses,O,train
204,are,O,train
204,a,O,train
204,group,O,train
204,of,O,train
204,RNA,O,train
204,"viruses,",O,train
204,such,O,train
204,as,O,train
204,mumps,O,train
204,"virus,",O,train
204,measles,O,train
204,"virus,",O,train
204,Nipah,B-DISEASE,train
204,"virus,",I-DISEASE,train
204,Hendra,O,train
204,"virus,",O,train
204,Newcastle,O,train
204,disease,O,train
204,"virus,",O,train
204,and,O,train
204,parainfluenza,O,train
204,"virus,",O,train
204,usually,O,train
204,transmitted,O,train
204,by,O,train
204,airborne,O,train
204,droplets,O,train
204,that,O,train
204,are,O,train
204,predominantly,O,train
204,responsible,O,train
204,for,O,train
204,acute,O,train
204,respiratory,O,train
204,diseases.,O,train
205,Infeksi,O,train
205,virus,B-DISEASE,train
205,Nipah,I-DISEASE,train
205,dapat,O,train
205,berkembang,O,train
205,menjadi,O,train
205,ensefalitis,O,train
205,yang,O,train
205,mengancam,O,train
205,nyawa.,O,train
210,Nipah,B-DISEASE,train
210,virus,I-DISEASE,train
210,causes,O,train
210,highly,O,train
210,lethal,O,train
210,"disease,",O,train
210,with,O,train
210,case-fatality,O,train
210,rates,O,train
210,ranging,O,train
210,from,O,train
210,40,O,train
210,to,O,train
210,100,O,train
210,in,O,train
210,recognised,O,train
210,outbreaks.,O,train
213,The,O,train
213,aim,O,train
213,of,O,train
213,this,O,train
213,study,O,train
213,was,O,train
213,to,O,train
213,develop,O,train
213,a,O,train
213,highly,O,train
213,specific,O,train
213,and,O,train
213,easily,O,train
213,standardized,O,train
213,system,O,train
213,for,O,train
213,the,O,train
213,detection,O,train
213,of,O,train
213,Nipah,B-DISEASE,train
213,virus,I-DISEASE,train
213,RNA.,O,train
221,Melansir,O,train
221,Science,O,train
221,"Alert,",O,train
221,beberapa,O,train
221,"negara,",O,train
221,termasuk,O,train
221,"Thailand,",B-LOCATION,train
221,"Malaysia,",B-LOCATION,train
221,dan,O,train
221,Singapura,B-LOCATION,train
221,memperketat,O,train
221,perbatasan,O,train
221,mereka,O,train
221,setelah,O,train
221,setidaknya,O,train
221,dua,O,train
221,orang,O,train
221,meninggal,O,train
221,akibat,O,train
221,virus,B-DISEASE,train
221,Nipah,I-DISEASE,train
221,di,O,train
221,negara,O,train
221,bagian,O,train
221,Benggala,B-LOCATION,train
221,"Barat,",I-LOCATION,train
221,"India,",B-LOCATION,train
221,bulan,O,train
221,ini.,O,train
224,Pahami,O,train
224,Persebaran,O,train
224,Kelelawar,O,train
224,Buah,O,train
224,untuk,O,train
224,Kurangi,O,train
224,Risiko,O,train
224,Penularan,O,train
224,Virus,B-DISEASE,train
224,Nipah,I-DISEASE,train
224,Kompas.id,O,train
227,Nipah,B-DISEASE,train
227,virus,I-DISEASE,train
227,(NiV),B-DISEASE,train
227,is,O,train
227,a,O,train
227,highly,O,train
227,lethal,O,train
227,zoonotic,O,train
227,pathogen,O,train
227,that,O,train
227,continues,O,train
227,to,O,train
227,"re-emerge,",O,train
227,as,O,train
227,highlighted,O,train
227,by,O,train
227,recent,O,train
227,confirmed,O,train
227,cases,O,train
227,in,O,train
227,India.,B-LOCATION,train
238,The,O,train
238,resurgence,O,train
238,of,O,train
238,Nipah,B-DISEASE,train
238,virus,I-DISEASE,train
238,(NiV),B-DISEASE,train
238,in,O,train
238,"Kerala,",B-DISEASE,train
238,"India,",B-LOCATION,train
238,represents,O,train
238,a,O,train
238,significant,O,train
238,public,O,train
238,health,O,train
238,challenge.,O,train
240,The,O,train
240,proteins,O,train
240,of,O,train
240,Nipah,B-DISEASE,train
240,virus,I-DISEASE,train
240,ascribe,O,train
240,to,O,train
240,its,O,train
240,lifecycle,O,train
240,and,O,train
240,are,O,train
240,crucial,O,train
240,to,O,train
240,infections,O,train
240,caused,O,train
240,by,O,train
240,the,O,train
240,virus.,O,train
245,Health,O,train
245,Ministry,O,train
245,Warns,O,train
245,of,O,train
245,Nipah,B-DISEASE,train
245,Virus,I-DISEASE,train
245,Infection,O,train
245,-,O,train
245,Sekretariat,O,train
245,Kabinet,O,train
245,Republik,O,train
245,Indonesia.,B-LOCATION,train
246,Nipah,B-DISEASE,train
246,virus,I-DISEASE,train
246,(NiV),B-DISEASE,train
246,is,O,train
246,a,O,train
246,highly,O,train
246,pathogenic,O,train
246,zoonotic,O,train
246,virus,O,train
246,with,O,train
246,no,O,train
246,licensed,O,train
246,vaccine.,O,train
247,Nipah,B-DISEASE,train
247,virus,I-DISEASE,train
247,(Henipavirus,B-DISEASE,train
247,nipahense),O,train
247,is,O,train
247,a,O,train
247,"bat-borne,",O,train
247,zoonotic,O,train
247,virus,O,train
247,that,O,train
247,causes,O,train
247,Nipah,B-DISEASE,train
247,virus,I-DISEASE,train
247,infection,O,train
247,in,O,train
247,humans,O,train
247,and,O,train
247,other,O,train
247,"animals,",O,train
247,a,O,train
247,disease,O,train
247,with,O,train
247,a,O,train
247,very,O,train
247,high,O,train
247,case,O,train
247,fatality,O,train
247,rate,O,train
247,(40–75%).,O,train
248,This,O,train
248,may,O,train
248,allow,O,train
248,more,O,train
248,efficient,O,train
248,control,O,train
248,of,O,train
248,other,O,train
248,infectious,O,train
248,diseases,O,train
248,such,O,train
248,as,O,train
248,the,O,train
248,Nipah,B-DISEASE,train
248,"virus,",I-DISEASE,train
248,"which,",O,train
248,if,O,train
248,not,O,train
248,"contained,",O,train
248,can,O,train
248,pose,O,train
248,a,O,train
248,severe,O,train
248,threat,O,train
248,to,O,train
248,health,O,train
248,and,O,train
248,healthcare,O,train
248,systems.,O,train
252,In,O,train
252,popular,O,train
252,culture,O,train
252,In,O,train
252,the,O,train
252,2011,O,train
252,movie,O,train
252,Contagion,O,train
252,a,O,train
252,Nipah,B-DISEASE,train
252,virus,I-DISEASE,train
252,DNA,O,train
252,sequence,O,train
252,is,O,train
252,shown,O,train
252,as,O,train
252,the,O,train
252,main,O,train
252,sequence,O,train
252,of,O,train
252,the,O,train
252,fictional,O,train
252,meningoencephalitic,O,train
252,virus,O,train
252,"(MEV–1),",O,train
252,in,O,train
252,a,O,train
252,scene,O,train
252,describing,O,train
252,recombination.,O,train
254,Nipah,B-DISEASE,train
254,virus,I-DISEASE,train
254,that,O,train
254,was,O,train
254,in,O,train
254,tissue,O,train
254,culture,O,train
254,medium,O,train
254,was,O,train
254,also,O,train
254,inactivated,O,train
254,after,O,train
254,24,O,train
254,h,O,train
254,in,O,train
254,the,O,train
254,presence,O,train
254,of,O,train
254,10,O,train
254,formalin.,O,train
261,Nipah,B-DISEASE,train
261,virus,I-DISEASE,train
261,(NiV),B-DISEASE,train
261,is,O,train
261,emerging,O,train
261,as,O,train
261,a,O,train
261,noteworthy,O,train
261,public,O,train
261,health,O,train
261,threat,O,train
261,in,O,train
261,"Bangladesh,",B-LOCATION,train
261,with,O,train
261,propagation,O,train
261,transpiring,O,train
261,across,O,train
261,accidental,O,train
261,person-to-person,O,train
261,contact,O,train
261,and,O,train
261,proximity,O,train
261,with,O,train
261,contaminated,O,train
261,food,O,train
261,or,O,train
261,animals.,O,train
268,The,O,train
268,index,O,train
268,case,O,train
268,of,O,train
268,NiV,O,train
268,infection,O,train
268,of,O,train
268,2019,O,train
268,outbreak,O,train
268,in,O,train
268,Ernakulam,B-LOCATION,train
268,district,I-LOCATION,train
268,was,O,train
268,a,O,train
268,23-year-old,O,train
268,male,O,train
268,who,O,train
268,presented,O,train
268,with,O,train
268,features,O,train
268,of,O,train
268,encephalitis.,B-DISEASE,train
